,100554newsML.txt,100593newsML.txt,100618newsML.txt
compani,0.31987186186921596,0.32106123956945426,0.3328100480846779
complex,0.045132511755360274,0.0,0.0
compromis,0.0,0.045936089150303616,0.04761705916116165
confer,0.09026502351072055,0.0,0.0
consider,0.053311976978202655,0.0713469421265454,0.07395778846326176
consolid,0.026655988489101327,0.0356734710632727,0.03697889423163088
constitut,0.045132511755360274,0.0,0.0
construct,0.026655988489101327,0.0356734710632727,0.03697889423163088
convert,0.026655988489101327,0.0356734710632727,0.03697889423163088
cost,0.045132511755360274,0.0,0.0
could,0.07996796546730399,0.0713469421265454,0.07395778846326176
creditor,0.053311976978202655,0.0356734710632727,0.03697889423163088
crippl,0.026655988489101327,0.0356734710632727,0.03697889423163088
current,0.09026502351072055,0.0,0.0
date,0.0,0.045936089150303616,0.04761705916116165
deal,0.1865919194237093,0.10702041318981809,0.11093668269489264
debt,0.15993593093460798,0.1426938842530908,0.14791557692652352
decemb,0.026655988489101327,0.0356734710632727,0.03697889423163088
depreci,0.045132511755360274,0.0,0.0
despit,0.045132511755360274,0.0,0.0
detail,0.053311976978202655,0.0356734710632727,0.03697889423163088
develop,0.026655988489101327,0.0356734710632727,0.03697889423163088
difficult,0.045132511755360274,0.0,0.0
dilut,0.026655988489101327,0.0356734710632727,0.03697889423163088
dividend,0.053311976978202655,0.0356734710632727,0.03697889423163088
done,0.026655988489101327,0.0356734710632727,0.03697889423163088
doomsday,0.045132511755360274,0.0,0.0
dwindl,0.045132511755360274,0.0,0.0
earli,0.07996796546730399,0.0356734710632727,0.03697889423163088
eight,0.045132511755360274,0.0,0.0
end,0.026655988489101327,0.0713469421265454,0.07395778846326176
entitl,0.026655988489101327,0.0356734710632727,0.03697889423163088
equiti,0.045132511755360274,0.0,0.0
european,0.026655988489101327,0.0356734710632727,0.03697889423163088
eurotunnel,0.2665598848910133,0.39240818169599967,0.40676783654793963
exist,0.026655988489101327,0.0356734710632727,0.03697889423163088
extend,0.0,0.045936089150303616,0.04761705916116165
ferri,0.026655988489101327,0.0356734710632727,0.03697889423163088
finalis,0.026655988489101327,0.0356734710632727,0.03697889423163088
financ,0.045132511755360274,0.0,0.0
financi,0.053311976978202655,0.0713469421265454,0.07395778846326176
find,0.045132511755360274,0.0,0.0
firm,0.026655988489101327,0.0356734710632727,0.03697889423163088
first,0.026655988489101327,0.0356734710632727,0.03697889423163088
fix,0.045132511755360274,0.0,0.0
flow,0.045132511755360274,0.0,0.0
follow,0.0,0.045936089150303616,0.04761705916116165
formula,0.045132511755360274,0.0,0.0
forward,0.045132511755360274,0.0,0.0
franc,0.053311976978202655,0.0356734710632727,0.03697889423163088
free,0.026655988489101327,0.0356734710632727,0.03697889423163088
french,0.026655988489101327,0.0356734710632727,0.03697889423163088
full,0.0,0.045936089150303616,0.04761705916116165
futur,0.053311976978202655,0.0356734710632727,0.03697889423163088
game,0.045132511755360274,0.0,0.0
get,0.045132511755360274,0.0,0.0
give,0.026655988489101327,0.0356734710632727,0.03697889423163088
go,0.045132511755360274,0.0,0.0
grant,0.045132511755360274,0.0,0.0
group,0.045132511755360274,0.0,0.0
half,0.026655988489101327,0.0356734710632727,0.03697889423163088
happen,0.045132511755360274,0.0,0.0
help,0.045132511755360274,0.0,0.0
highli,0.026655988489101327,0.0356734710632727,0.03697889423163088
hold,0.045132511755360274,0.0,0.0
holder,0.0,0.045936089150303616,0.04761705916116165
hope,0.045132511755360274,0.0,0.0
ingeni,0.045132511755360274,0.0,0.0
insolv,0.0,0.045936089150303616,0.04761705916116165
instruct,0.0,0.045936089150303616,0.04761705916116165
instrument,0.026655988489101327,0.0356734710632727,0.03697889423163088
interest,0.1865919194237093,0.1426938842530908,0.14791557692652352
invest,0.09026502351072055,0.0,0.0
issu,0.07996796546730399,0.0356734710632727,0.03697889423163088
keep,0.045132511755360274,0.0,0.0
last,0.026655988489101327,0.0713469421265454,0.07395778846326176
late,0.0,0.045936089150303616,0.04761705916116165
lead,0.0,0.045936089150303616,0.04761705916116165
least,0.045132511755360274,0.0,0.0
leav,0.026655988489101327,0.0356734710632727,0.03697889423163088
less,0.045132511755360274,0.0,0.0
level,0.026655988489101327,0.0356734710632727,0.03697889423163088
lifelin,0.045132511755360274,0.0,0.0
like,0.045132511755360274,0.0,0.0
london,0.026655988489101327,0.0713469421265454,0.07395778846326176
look,0.045132511755360274,0.0,0.0
major,0.045132511755360274,0.0,0.0
make,0.026655988489101327,0.0356734710632727,0.03697889423163088
market,0.026655988489101327,0.0356734710632727,0.03697889423163088
massiv,0.045132511755360274,0.0,0.0
maximum,0.045132511755360274,0.0,0.0
may,0.026655988489101327,0.0356734710632727,0.03697889423163088
medium,0.03432443850089681,0.0,0.04761705916116165
meet,0.026655988489101327,0.0356734710632727,0.03697889423163088
million,0.1353975352660808,0.0,0.0
monday,0.053311976978202655,0.10702041318981809,0.11093668269489264
month,0.026655988489101327,0.0713469421265454,0.07395778846326176
morton,0.10662395395640531,0.0356734710632727,0.03697889423163088
mountain,0.0,0.0,0.06261071050851025
name,0.045132511755360274,0.0,0.0
nearli,0.053311976978202655,0.0356734710632727,0.03697889423163088
negoti,0.026655988489101327,0.0713469421265454,0.07395778846326176
new,0.026655988489101327,0.0356734710632727,0.03697889423163088
news,0.09026502351072055,0.0,0.0
next,0.026655988489101327,0.0356734710632727,0.03697889423163088
nine,0.053311976978202655,0.0356734710632727,0.03697889423163088
nobodi,0.09026502351072055,0.0,0.0
note,0.1353975352660808,0.0,0.0
offer,0.026655988489101327,0.0356734710632727,0.03697889423163088
one,0.026655988489101327,0.0356734710632727,0.03697889423163088
oper,0.07996796546730399,0.10702041318981809,0.11093668269489264
outstand,0.0,0.045936089150303616,0.04761705916116165
owe,0.0,0.045936089150303616,0.04761705916116165
own,0.026655988489101327,0.0356734710632727,0.03697889423163088
pari,0.053311976978202655,0.0356734710632727,0.03697889423163088
particip,0.026655988489101327,0.0356734710632727,0.03697889423163088
patient,0.026655988489101327,0.0356734710632727,0.03697889423163088
patrick,0.026655988489101327,0.0356734710632727,0.03697889423163088
pay,0.07996796546730399,0.0356734710632727,0.03697889423163088
payment,0.053311976978202655,0.0356734710632727,0.03697889423163088
penc,0.07996796546730399,0.10702041318981809,0.11093668269489264
per,0.026655988489101327,0.0356734710632727,0.03697889423163088
percent,0.07996796546730399,0.10702041318981809,0.11093668269489264
perform,0.053311976978202655,0.0356734710632727,0.03697889423163088
plan,0.053311976978202655,0.10702041318981809,0.11093668269489264
ponsol,0.026655988489101327,0.0356734710632727,0.03697889423163088
posit,0.045132511755360274,0.0,0.0
pound,0.21324790791281062,0.1426938842530908,0.18489447115815438
pretti,0.045132511755360274,0.0,0.0
probabl,0.026655988489101327,0.0356734710632727,0.03697889423163088
profit,0.026655988489101327,0.0356734710632727,0.03697889423163088
prospect,0.026655988489101327,0.0356734710632727,0.03697889423163088
provid,0.026655988489101327,0.0356734710632727,0.03697889423163088
reap,0.0,0.045936089150303616,0.04761705916116165
reduc,0.053311976978202655,0.10702041318981809,0.11093668269489264
reject,0.045132511755360274,0.0,0.0
report,0.07996796546730399,0.0356734710632727,0.03697889423163088
restructur,0.026655988489101327,0.10702041318981809,0.11093668269489264
resum,0.026655988489101327,0.0356734710632727,0.03697889423163088
return,0.026655988489101327,0.0356734710632727,0.03697889423163088
revenu,0.045132511755360274,0.0,0.0
roll,0.045132511755360274,0.0,0.0
rout,0.045132511755360274,0.0,0.0
run,0.03432443850089681,0.0,0.04761705916116165
said,0.23990389640191195,0.2853877685061816,0.29583115385304704
scenario,0.045132511755360274,0.0,0.0
secret,0.0,0.045936089150303616,0.04761705916116165
secur,0.045132511755360274,0.0,0.0
see,0.026655988489101327,0.0356734710632727,0.03697889423163088
seen,0.045132511755360274,0.0,0.0
seven,0.045132511755360274,0.0,0.0
share,0.053311976978202655,0.10702041318981809,0.11093668269489264
sharehold,0.1865919194237093,0.21404082637963617,0.22187336538978528
simultan,0.026655988489101327,0.0356734710632727,0.03697889423163088
six,0.0,0.045936089150303616,0.04761705916116165
spring,0.045132511755360274,0.0,0.0
stabil,0.026655988489101327,0.0356734710632727,0.03697889423163088
stabilis,0.09026502351072055,0.0,0.0
statement,0.03432443850089681,0.0,0.04761705916116165
still,0.07996796546730399,0.0356734710632727,0.03697889423163088
strong,0.026655988489101327,0.0356734710632727,0.03697889423163088
submit,0.026655988489101327,0.0356734710632727,0.03697889423163088
subscrib,0.026655988489101327,0.0356734710632727,0.03697889423163088
substanti,0.0,0.045936089150303616,0.04761705916116165
success,0.0,0.045936089150303616,0.04761705916116165
suspend,0.026655988489101327,0.0356734710632727,0.03697889423163088
sustain,0.045132511755360274,0.0,0.0
swap,0.053311976978202655,0.0356734710632727,0.03697889423163088
syndic,0.0,0.045936089150303616,0.04761705916116165
take,0.053311976978202655,0.0356734710632727,0.03697889423163088
taken,0.026655988489101327,0.0356734710632727,0.03697889423163088
ten,0.045132511755360274,0.0,0.0
term,0.03432443850089681,0.0,0.04761705916116165
throw,0.045132511755360274,0.0,0.0
time,0.045132511755360274,0.0,0.0
told,0.09026502351072055,0.0,0.0
trade,0.026655988489101327,0.0356734710632727,0.03697889423163088
tuesday,0.026655988489101327,0.0356734710632727,0.03697889423163088
tunnel,0.053311976978202655,0.0713469421265454,0.07395778846326176
two,0.0,0.045936089150303616,0.04761705916116165
uncertainti,0.026655988489101327,0.0356734710632727,0.03697889423163088
unpaid,0.045132511755360274,0.0,0.0
urg,0.045132511755360274,0.0,0.0
want,0.09026502351072055,0.0,0.0
warrant,0.026655988489101327,0.0356734710632727,0.03697889423163088
week,0.026655988489101327,0.10702041318981809,0.11093668269489264
well,0.045132511755360274,0.0,0.0
wide,0.026655988489101327,0.0356734710632727,0.03697889423163088
wipe,0.026655988489101327,0.0356734710632727,0.03697889423163088
within,0.026655988489101327,0.0356734710632727,0.03697889423163088
work,0.026655988489101327,0.0356734710632727,0.03697889423163088
would,0.1865919194237093,0.1426938842530908,0.14791557692652352
wrangl,0.0,0.045936089150303616,0.04761705916116165
wrestl,0.026655988489101327,0.0356734710632727,0.03697889423163088
year,0.15993593093460798,0.0356734710632727,0.03697889423163088
